index,gamerTag,numCombosStarted,totalComboDamage,averageComboDamage,maxComboDamage,percentTimeClosestCenter,percentTimeInShield,rollCount,numRecoveries,totalRecoveryDamage,averageRecoveryDamage,maxRecoveryDamage,numSuccessfulRecoveries,recoverySuccessPercent,numEdgeguards,numFailedEdgeguards,edgeguardSuccessPercent,numPunishesStarted,numKillingPunishes,totalPunishDamage,averagePunishDamage,neutralWinPercent,openingsPerKill,won
0,S2J,79.0,1119.17,14.166708860759,37.92,53.205736843207,7.8019176561747,43.0,23.0,375.85,16.341304347826,55.52,11.0,47.826086956522,24.0,23.0,4.1666666666667,66.0,9.0,1124.17,17.032878787879,45.833333333332995,7.3333333333333,0.0
1,Hungrybox,101.0,1724.49,17.074158415842,89.08,46.794263156793,3.1510073087475003,7.0,24.0,94.1,3.9208333333332996,42.14,23.0,95.833333333333,23.0,11.0,52.173913043478,78.0,15.0,1724.49,22.108846153846002,54.166666666667005,5.2,1.0
2,Leffen,74.0,1226.34,16.572162162162,66.09,53.446288901128995,3.7836656568438,13.0,20.0,269.0,13.45,43.3,15.0,75.0,22.0,13.0,40.909090909091,50.0,11.0,1229.34,24.5868,53.763440860215,4.5454545454545,1.0
3,PewPewU,60.0,912.56,15.209333333333001,66.24,46.553711098871005,1.9331327458001,4.0,22.0,240.41,10.927727272727001,41.48,13.0,59.090909090909,20.0,15.0,25.0,43.0,6.0,913.56,21.245581395349,46.236559139785,7.1666666666667,0.0
4,Infinite Numbers,53.0,932.94,17.602641509433997,140.8,51.024071173909995,8.328259367002799,9.0,26.0,499.92,19.227692307692,72.04,14.0,53.846153846154,14.0,13.0,7.1428571428571,45.0,5.0,932.94,20.732,39.473684210526,9.0,0.0
5,Armada,120.0,1610.75,13.422916666667,50.1,48.975928826090005,0.7128029921914301,8.0,14.0,41.0,2.9285714285714,12.0,13.0,92.857142857143,26.0,14.0,46.153846153846,69.0,12.0,1621.75,23.503623188406,60.526315789474,5.75,1.0
6,Leffen,85.0,1174.92,13.822588235294,31.8,65.902191358025,2.8850631591857003,17.0,18.0,151.8,8.4333333333333,22.88,11.0,61.111111111111,19.0,19.0,0.0,67.0,13.0,1220.51,18.216567164179,49.62962962963,5.1538461538462,0.0
7,Hungrybox,91.0,1408.24,15.475164835165,67.8,34.097808641975,5.2377765513857995,20.0,19.0,156.92,8.258947368421099,36.62,19.0,100.0,18.0,11.0,38.888888888889,68.0,14.0,1408.24,20.709411764705997,50.37037037037,4.8571428571429,1.0
8,S2J,85.0,1283.91,15.104823529412,47.76,51.747957763822,5.1149458194804005,46.0,30.0,568.68,18.956,70.25,17.0,56.666666666667005,23.0,18.0,21.739130434783,61.0,9.0,1301.55,21.336885245902,44.852941176471006,6.777777777777799,0.0
9,PewPewU,116.0,1857.18,16.010172413793,86.4,48.216296638345,2.1196665024833,12.0,23.0,262.64,11.419130434783002,38.0,18.0,78.26086956521699,30.0,17.0,43.333333333332995,75.0,15.0,1857.18,24.7624,55.147058823528994,5.0,1.0
10,Armada,76.0,1278.62,16.823947368421,80.56,54.010776451535996,5.8538114803263,7.0,9.0,160.85,17.872222222222,37.25,6.0,66.666666666667,18.0,9.0,50.0,53.0,11.0,1281.38,24.176981132075,53.535353535354005,4.8181818181818,1.0
11,Lucky,67.0,907.29,13.541641791045,46.73,45.989223548464004,6.700291806621901,11.0,18.0,165.69,9.205,40.27,9.0,50.0,9.0,6.0,33.333333333333,46.0,6.0,898.76,19.538260869565,46.464646464645995,7.6666666666667,0.0
12,Infinite Numbers,88.0,2077.23,23.604886363636,141.0,54.552718395262005,9.2238228865543,34.0,20.0,195.58,9.779,28.65,12.0,60.0,14.0,12.0,14.285714285713999,74.0,14.0,2079.23,28.097702702703,43.27485380117,5.2857142857143,0.0
13,Westballz,129.0,1714.13,13.287829457364,61.0,45.447281604737995,1.9941521539872,8.0,14.0,221.06,15.79,43.92,12.0,85.714285714286,20.0,12.0,40.0,97.0,15.0,1720.13,17.733298969072003,56.725146198830004,6.4666666666667,0.0
14,Lucky,87.0,1354.04,15.56367816092,66.63,52.217941894159004,3.648827715927,26.0,19.0,308.65,16.244736842105,67.86,9.0,47.368421052632,21.0,15.0,28.571428571429,59.0,11.0,1358.04,23.017627118644,50.42735042735,5.3636363636364,0.0
15,PewPewU,84.0,1475.51,17.565595238095,75.98,47.782058105840996,2.6317500381272003,10.0,21.0,191.86,9.1361904761905,34.2,15.0,71.42857142857099,19.0,9.0,52.631578947368,58.0,13.0,1476.51,25.457068965517003,49.57264957265,4.4615384615385,1.0
16,Leffen,102.0,1272.33,12.473823529412,58.18,49.084491538785,0.9055208114357801,32.0,11.0,114.29,10.39,26.51,8.0,72.727272727273,11.0,3.0,72.727272727273,64.0,12.0,1293.22,20.2065625,60.377358490565996,5.3333333333333,1.0
17,Infinite Numbers,50.0,1071.52,21.4304,108.25,50.915508461215,7.6485198129073,17.0,11.0,340.67,30.97,85.91,3.0,27.272727272727,11.0,8.0,27.272727272727,42.0,8.0,1078.52,25.679047619048,39.622641509434,5.25,0.0
18,HugS,167.0,2199.39,13.17,40.0,50.002983160271995,7.8175216633527,11.0,43.0,420.53,9.7797674418605,50.11,35.0,81.395348837209,48.0,41.0,14.583333333333002,131.0,13.0,2203.39,16.819770992366,48.518518518519,10.076923076923,0.0
19,Axe,202.0,2168.67,10.73599009901,29.0,49.997016839728005,6.5823951199156,22.0,48.0,358.46,7.467916666666699,35.0,41.0,85.416666666667,43.0,35.0,18.604651162791,139.0,18.0,2188.59,15.745251798561,51.481481481481,7.722222222222201,1.0
20,SFAT,112.0,1347.39,12.030267857142999,52.91,45.663585705263,1.2219683788023998,10.0,22.0,301.88,13.721818181818,68.89,15.0,68.181818181818,24.0,18.0,25.0,68.0,12.0,1353.21,19.900147058824,51.127819548872004,5.6666666666667,0.0
21,ChuDat,91.0,1828.02,20.088131868132,127.66,54.336414294737,8.384315111754,26.0,24.0,326.28,13.595,54.41,18.0,75.0,22.0,15.0,31.818181818182,65.0,13.0,1840.02,28.308000000000003,48.872180451127996,5.0,1.0
22,Axe,76.0,1139.1,14.988157894737,88.13,50.443448654069,4.6306486791389005,10.0,12.0,96.99,8.0825,46.43,10.0,83.333333333333,18.0,12.0,33.333333333333,52.0,11.0,1154.6,22.203846153846,48.148148148148,4.7272727272727,1.0
23,Mang0,85.0,1319.45,15.522941176470999,44.64,49.556551345931,4.0364532606311,11.0,18.0,215.76,11.986666666666999,73.62,12.0,66.666666666667,12.0,10.0,16.666666666667,56.0,9.0,1326.3,23.683928571429,51.851851851852,6.222222222222201,0.0
24,Armada,113.0,1617.57,14.314778761062,51.07,59.645512800723,1.1075337934684,24.0,8.0,78.05,9.75625,68.05,7.0,87.5,24.0,12.0,50.0,55.0,12.0,1634.57,29.719454545454997,56.701030927835,4.5833333333333,1.0
25,ChuDat,49.0,766.78,15.648571428571,113.8,40.354487199277,10.147733136343,17.0,24.0,608.08,25.336666666667,86.3,12.0,50.0,8.0,7.0,12.5,42.0,4.0,767.78,18.280476190476,43.298969072165,10.5,0.0
26,Plup,100.0,1591.53,15.9153,99.22,44.128570023879995,5.1893383902233,22.0,20.0,370.96,18.548,63.69,15.0,75.0,23.0,14.0,39.130434782609,78.0,13.0,1595.53,20.455512820513,54.545454545455,6.0,0.0
