gamerTag,numCombosStarted,totalComboDamage,averageComboDamage,maxComboDamage,percentTimeClosestCenter,percentTimeInShield,rollCount,numRecoveries,totalRecoveryDamage,averageRecoveryDamage,maxRecoveryDamage,numSuccessfulRecoveries,recoverySuccessPercent,numEdgeguards,numFailedEdgeguards,edgeguardSuccessPercent,numPunishesStarted,numKillingPunishes,totalPunishDamage,averagePunishDamage,neutralWinPercent,openingsPerKill,won
S2J,79,1119.17,14.166708860759,37.92,53.205736843207,7.8019176561747,43,23,375.85,16.341304347826,55.52,11,47.826086956522,24,23,4.1666666666667,66,9,1124.17,17.032878787879,45.833333333333,7.3333333333333,0.0
Hungrybox,101,1724.49,17.074158415842,89.08,46.794263156793,3.1510073087475,7,24,94.1,3.9208333333333,42.14,23,95.833333333333,23,11,52.173913043478,78,15,1724.49,22.108846153846,54.166666666667,5.2,1.0
Leffen,74,1226.34,16.572162162162,66.09,53.446288901129,3.7836656568438,13,20,269.0,13.45,43.3,15,75.0,22,13,40.909090909091,50,11,1229.34,24.5868,53.763440860215,4.5454545454545,1.0
PewPewU,60,912.56,15.209333333333,66.24,46.553711098871,1.9331327458001,4,22,240.41,10.927727272727,41.48,13,59.090909090909,20,15,25.0,43,6,913.56,21.245581395349,46.236559139785,7.1666666666667,0.0
Infinite Numbers,53,932.94,17.602641509434,140.8,51.02407117391,8.3282593670028,9,26,499.92,19.227692307692,72.04,14,53.846153846154,14,13,7.1428571428571,45,5,932.94,20.732,39.473684210526,9.0,0.0
Armada,120,1610.75,13.422916666667,50.1,48.97592882609,0.71280299219143,8,14,41.0,2.9285714285714,12.0,13,92.857142857143,26,14,46.153846153846,69,12,1621.75,23.503623188406,60.526315789474,5.75,1.0
Leffen,85,1174.92,13.822588235294,31.8,65.902191358025,2.8850631591857,17,18,151.8,8.4333333333333,22.88,11,61.111111111111,19,19,0.0,67,13,1220.51,18.216567164179,49.62962962963,5.1538461538462,0.0
Hungrybox,91,1408.24,15.475164835165,67.8,34.097808641975,5.2377765513858,20,19,156.92,8.2589473684211,36.62,19,100.0,18,11,38.888888888889,68,14,1408.24,20.709411764706,50.37037037037,4.8571428571429,1.0
S2J,85,1283.91,15.104823529412,47.76,51.747957763822,5.1149458194804,46,30,568.68,18.956,70.25,17,56.666666666667,23,18,21.739130434783,61,9,1301.55,21.336885245902,44.852941176471,6.7777777777778,0.0
PewPewU,116,1857.18,16.010172413793,86.4,48.216296638345,2.1196665024833,12,23,262.64,11.419130434783,38.0,18,78.260869565217,30,17,43.333333333333,75,15,1857.18,24.7624,55.147058823529,5.0,1.0
Armada,76,1278.62,16.823947368421,80.56,54.010776451536,5.8538114803263,7,9,160.85,17.872222222222,37.25,6,66.666666666667,18,9,50.0,53,11,1281.38,24.176981132075,53.535353535354,4.8181818181818,1.0
Lucky,67,907.29,13.541641791045,46.73,45.989223548464,6.7002918066219,11,18,165.69,9.205,40.27,9,50.0,9,6,33.333333333333,46,6,898.76,19.538260869565,46.464646464646,7.6666666666667,0.0
Infinite Numbers,88,2077.23,23.604886363636,141.0,54.552718395262,9.2238228865543,34,20,195.58,9.779,28.65,12,60.0,14,12,14.285714285714,74,14,2079.23,28.097702702703,43.27485380117,5.2857142857143,0.0
Westballz,129,1714.13,13.287829457364,61.0,45.447281604738,1.9941521539872,8,14,221.06,15.79,43.92,12,85.714285714286,20,12,40.0,97,15,1720.13,17.733298969072,56.72514619883,6.4666666666667,0.0
Lucky,87,1354.04,15.56367816092,66.63,52.217941894159,3.648827715927,26,19,308.65,16.244736842105,67.86,9,47.368421052632,21,15,28.571428571429,59,11,1358.04,23.017627118644,50.42735042735,5.3636363636364,0.0
PewPewU,84,1475.51,17.565595238095,75.98,47.782058105841,2.6317500381272,10,21,191.86,9.1361904761905,34.2,15,71.428571428571,19,9,52.631578947368,58,13,1476.51,25.457068965517,49.57264957265,4.4615384615385,1.0
Leffen,102,1272.33,12.473823529412,58.18,49.084491538785,0.90552081143578,32,11,114.29,10.39,26.51,8,72.727272727273,11,3,72.727272727273,64,12,1293.22,20.2065625,60.377358490566,5.3333333333333,1.0
Infinite Numbers,50,1071.52,21.4304,108.25,50.915508461215,7.6485198129073,17,11,340.67,30.97,85.91,3,27.272727272727,11,8,27.272727272727,42,8,1078.52,25.679047619048,39.622641509434,5.25,0.0
HugS,167,2199.39,13.17,40.0,50.002983160272,7.8175216633527,11,43,420.53,9.7797674418605,50.11,35,81.395348837209,48,41,14.583333333333,131,13,2203.39,16.819770992366,48.518518518519,10.076923076923,0.0
Axe,202,2168.67,10.73599009901,29.0,49.997016839728,6.5823951199156,22,48,358.46,7.4679166666667,35.0,41,85.416666666667,43,35,18.604651162791,139,18,2188.59,15.745251798561,51.481481481481,7.7222222222222,1.0
SFAT,112,1347.39,12.030267857143,52.91,45.663585705263,1.2219683788024,10,22,301.88,13.721818181818,68.89,15,68.181818181818,24,18,25.0,68,12,1353.21,19.900147058824,51.127819548872,5.6666666666667,0.0
